,Job Id,Experience,Qualifications,Salary Range,location,Country,latitude,longitude,Work Type,Company Size,Job Posting Date,Preference,Contact Person,Contact,Job Title,Role,Job Portal,Job Description,Benefits,skills,Responsibilities,Company,Sector,Industry,City,State,Zip,Website,Ticker,CEO
843922,2941789768275685,2 to 9 Years,B.Com,$57K-$113K,Dhaka,Bangladesh,23.685,90.3563,Part-Time,103725,2022-10-11,Female,Christopher Caldwell,001-352-910-1858x15493,Wedding Planner,Wedding Designer,CareerBuilder,"A Wedding Designer specializes in creating visually appealing wedding designs and décor, transforming wedding venues into beautiful and memorable spaces.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Wedding design concepts Decor selection and arrangement Creative flair,"Focus on the visual and aesthetic aspects of weddings, including decor, floral arrangements, and styling. Create design concepts and layouts. Oversee setup and decoration on the wedding day.",JD Wetherspoon,Hospitality,Restaurants,Watford,,,www.jdwetherspoon.com,JDW.L,Tim Martin
202217,2329485357093600,2 to 8 Years,BBA,$64K-$117K,Pristina,Kosovo,42.6026,20.903,Temporary,133363,2023-01-31,Female,Sarah Flynn,202-272-6179x76089,Customer Service Manager,Customer Support Manager,Idealist,"Customer Support Managers oversee a team of customer support representatives. They set performance goals, resolve complex customer issues, and develop strategies to improve customer satisfaction and the efficiency of support operations.","{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}",Customer support Team leadership Customer satisfaction Issue resolution Performance metrics Training and development,"Oversee the customer support team, including hiring, training, and performance management. Set and monitor customer service KPIs and targets. Handle escalated customer issues and resolutions.",Derwent London,Real Estate,Real Estate/REIT,London,England,W1G 0PW,https://www.derwentlondon.com/,DLN,Paul Williams
1127004,1948460425186698,0 to 8 Years,B.Tech,$57K-$83K,Panama City,Panama,8.5379,-80.7821,Temporary,124874,2023-07-18,Female,Barry Bowen,001-544-639-2645x0345,Systems Analyst,Business Systems Analyst,USAJOBS,"A Business Systems Analyst analyzes business processes and requirements, recommends technology solutions, and bridges the gap between business objectives and IT systems.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}",Business systems analysis Requirements gathering Process improvement,Focus on improving business processes through technology solutions. Conduct business process modeling and workflow analysis. Facilitate communication between business and IT stakeholders.,Associated British Foods,Food and Beverage,Food and Beverage,London,,,www.abf.co.uk,ABF,George Weston
357636,2413588532843745,4 to 14 Years,PhD,$57K-$98K,Bern,Switzerland,46.8182,8.2275,Intern,69176,2022-10-03,Female,Michael Gallegos,+1-737-598-5323x2908,Sales Representative,Inside Sales Representative,Monster,"Inside Sales Representatives are responsible for selling products or services to customers over the phone or through online channels. They engage with leads, answer customer inquiries, and use persuasive communication to close sales and meet revenue targets.","{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}","Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building","Identify and qualify sales leads, conduct sales presentations, and close deals through phone and email. Maintain accurate sales records and reports. Provide excellent customer service throughout the sales process.",Discover Financial Services,Financial Services,Commercial Banks,Riverwoods,Illinois,60015,www.discover.com,DFS,Roger C. Hochschild
334165,2853106964652580,4 to 10 Years,B.Tech,$65K-$130K,N'Djamena,Chad,15.4542,18.7322,Contract,45076,2023-03-27,Female,Timothy Sullivan,867-995-6694x230,Account Manager,Sales Account Manager,Stack Overflow Jobs,"A Sales Account Manager is responsible for building and maintaining relationships with clients, identifying their needs, and proposing tailored solutions to achieve sales targets.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Account management Sales strategy Negotiation and closing skills,Manage sales accounts and ensure revenue growth. Identify cross-selling and upselling opportunities. Develop account strategies and forecasts.,Ryder System,Transportation,Transportation and Logistics,Miami,Florida,33178,www.ryder.com,R,Robert E. Sanchez
1160326,1029670710560908,0 to 11 Years,B.Com,$65K-$109K,Bandar Seri Begawan,Brunei,4.5353,114.7277,Part-Time,124925,2023-04-07,Male,Michael Gordon,912.874.7464,Financial Controller,Accounting Controller,Idealist,"Accounting Controllers manage an organizations accounting and financial reporting functions. They ensure accurate financial records, compliance with accounting standards, and timely financial reporting to support informed decision-making.","{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}","Accounting Financial reporting Financial audits Tax compliance Accounting software (e.g., SAP, Oracle) GAAP (Generally Accepted Accounting Principles)","Manage accounting functions, including accounts payable and receivable, payroll, and financial statement preparation. Conduct financial analysis and forecasting. Coordinate audits and tax filings.",China COSCO Shipping Corporation,Shipping and Logistics,Transportation/Logistics,Shanghai,,,http://www.cosco.com/,1919.HK,Xu Lirong
1079761,2641302852734696,1 to 12 Years,MBA,$57K-$115K,Podgorica,Montenegro,42.7087,19.3744,Intern,118602,2022-04-18,Both,Kristina Johnson,421.381.2579x65698,UI Developer,Front-End Developer,LinkedIn,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,"{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}","Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility","Develop and maintain user interfaces for websites and web applications. Write clean and efficient HTML, CSS, and JavaScript code. Collaborate with UX designers to ensure a seamless user experience.",Volkswagen Group,Automotive,Automotive,Wolfsburg,,,www.volkswagenag.com,VOW3,Herbert Diess
425660,2024933024538922,2 to 11 Years,M.Com,$61K-$87K,Tehran,"Iran, Islamic Rep.",32.4279,53.688,Temporary,107364,2023-02-09,Both,Sara Pearson,245.324.9344x7864,Civil Engineer,Structural Engineer,Stack Overflow Jobs,"A Structural Engineer designs and analyzes the structural integrity of buildings, bridges, and other structures. They ensure safety and compliance with engineering standards.","{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}","Structural engineering principles Structural analysis and design software (e.g., AutoCAD, SAP2000) Building codes and standards Project management Structural integrity assessment",Design and analyze structural components and systems for buildings and infrastructure projects. Ensure structural safety and compliance with codes and standards. Collaborate with architects and contractors.,Daimler AG (now known as Mercedes-Benz AG),Automotive,Automotive,Stuttgart,,,www.daimler.com,DAI,Ola K llenius
525739,3029827368083194,4 to 15 Years,MCA,$55K-$87K,Nairobi,Kenya,-1.2864,36.8172,Full-Time,61435,2021-11-18,Both,Rebecca Clarke,001-690-973-6457x34655,Tax Consultant,Personal Tax Consultant,Snagajob,A Personal Tax Consultant provides tax planning and preparation services to individuals. They help clients optimize their tax situations while ensuring compliance with tax laws.,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}",Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency,Assist individuals and families with personal income tax planning and compliance. Prepare and file tax returns. Provide tax advice and financial planning.,Macy's,Retail,General Merchandisers,New York,New York,10001,www.macysinc.com,M,Jeffrey Gennette
8489,2731320490278184,4 to 13 Years,B.Com,$60K-$80K,Freetown,Sierra Leone,8.4606,-11.7799,Temporary,105409,2023-05-24,Both,Mark Cross,578.404.3444x944,Product Manager,Agile Product Owner,FlexJobs,"Agile Product Owners work closely with development teams in Agile environments. They define and prioritize product backlog items, communicate the product vision, and ensure that the product increments delivered align with customer needs and project objectives.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}",Agile product development Scrum or Kanban frameworks Backlog management User story writing Prioritization techniques Collaboration with development teams Product vision and strategy,"Act as the product owner in agile development, making critical decisions and ensuring product goals are met. Maintain and prioritize the product backlog. Communicate with stakeholders and development teams.",BYD Company,Automotive,Automotive,Shenzhen,,,https://www.byd.com/,1211.HK,Wang Chuanfu
